SKU_ID,SKU_Name,Category,ABC_Class,Supplier_ID,Supplier_Name,Warehouse_ID,Warehouse_Location,Batch_ID,Received_Date,Last_Purchase_Date,Expiry_Date,Stock_Age_Days,Quantity_On_Hand,Quantity_Reserved,Quantity_Committed,Damaged_Qty,Returns_Qty,Avg_Daily_Sales,Forecast_Next_30d,Days_of_Inventory,Reorder_Point,Safety_Stock,Lead_Time_Days,Unit_Cost_USD,Last_Purchase_Price_USD,Total_Inventory_Value_USD,SKU_Churn_Rate,Order_Frequency_per_month,Supplier_OnTime_Pct,FIFO_FEFO,Inventory_Status,Count_Variance,Audit_Date,Audit_Variance_Pct,Demand_Forecast_Accuracy_Pct,Notes,Rate_Level,Available_Stock,New_Stock_Status,Stock_Status,Reorder_Flag,Stockout_Risk,Coverage_Gap,Risk_Level,Inventory_Turnover,Turnover_Category,Demand_Supply_Ratio,Supplier_Risk,Supplier_Risk_Level,Inventory_Risk,SC_Risk_Score,Supplier_Class,Warehouse_Stock_Imbalance,Warehouse_Imbalance_Level,Optimization_Score
SKU0011,Fresh Product 25,Fresh Produce,C,S002,PT Indo Fresh,WHBDG,Bandung - Rancaekek,BATCH7916,02/04/2025,23/02/2025,07/04/2025,160,711,4,124,2,2,36.155,274,19.67,72.31,80,2,$1.12,$1.07,$795.61,3.19,27,0.8085,FIFO,Expiring Soon,0,22/07/2025,-3.49%,84.99%,No Notes,Medium,581,In Stock,Low,FALSE,FALSE,0,Low Risk,18.56058368,Medium Moving,0.050850914,0.38,Low,0,0.38,A - Good,192.2676003,Moderate Imbalance (~192),0
SKU0012,Personal Product 271,Personal Care,C,S005,PT Agro Raya,WHDPS,Denpasar - Tabanan,BATCH2876,07/09/2025,26/07/2025,01/07/2030,2,66,16,12,1,0,6.86,1790,9.62,48.02,25,7,$6.85,$7.15,$452.13,3.12,5,0.8092,FEFO,Low Stock,2,19/06/2025,-0.15%,60.92%,No Notes,Medium,37,Low,Critical,FALSE,FALSE,0,Medium Risk,37.93787879,Fast Moving,0.103939394,1.34,Low,0,1.34,A - Good,206.5718724,High Variation (~206),0
SKU0013,Meat Product 81,Meat,C,S008,PT Hygienic Supplies,WHJKT,Jakarta - Cengkareng,BATCH3927,04/07/2025,02/06/2025,25/07/2025,67,443,71,24,0,1,37.28,1165,11.88,260.96,133,7,$1.66,$1.57,$736.40,2.52,9,0.9588,FIFO,Expiring Soon,-4,21/06/2025,1.14%,63.69%,No Notes,Low,348,In Stock,Low,FALSE,FALSE,0,Low Risk,30.71602709,Fast Moving,0.084153499,0.29,Low,0,0.29,A - Good,213.1579776,Very Uneven (~213+),0
SKU0014,Pantry Product 312,Pantry,B,S004,PT Nusantara Supplier,WHBDG,Bandung - Rancaekek,BATCH9837,06/06/2025,18/04/2025,02/05/2027,95,130,71,51,0,0,21.21,7840,6.13,148.47,83,7,$11.19,$11.78,"$1,454.61",4.89,10,0.7895,FIFO,Low Stock,-1,25/06/2025,-8.37%,61.05%,No Notes,Medium,8,Low,Critical,TRUE,TRUE,0.87,Medium Risk,59.55115385,Very Fast Moving,0.163153846,1.47,Low,0.87,2.34,A - Good,192.2676003,Moderate Imbalance (~192),9.74
SKU0015,Fresh Product 476,Fresh Produce,C,S006,PT Frozen Express,WHSBY,Surabaya - Sidoarjo,BATCH4946,10/07/2025,15/05/2025,13/07/2025,0,231,81,42,0,0,29.5,8500,7.83,206.5,107,7,$1.48,$1.49,$342.25,3.83,8,0.7707,FIFO,Low Stock,1,30/08/2025,3.99%,88.27%,No Notes,Medium,108,In Stock,Critical,FALSE,FALSE,0,Medium Risk,46.61255411,Fast Moving,0.127705628,1.61,Low,0,1.61,A - Good,199.2482854,High Variation (~206),0
SKU0016,Household Product 390,Household,C,S009,PT Beverage Nusantara,WHBDG,Bandung - Rancaekek,BATCH8787,08/08/2025,09/06/2025,20/04/2030,32,0,11,16,0,0,4.47,1010,0,13.41,14,3,$2.33,$2.13,$109.53,2.85,2,0.7051,FIFO,In Stock,0,07/08/2025,1.32%,71.83%,No Notes,Low,-27,Out of Stock,Critical,TRUE,TRUE,3,High Risk,inf,Very Fast Moving,inf,0.88,Low,3,3.88,A - Good,192.2676003,Moderate Imbalance (~192),14
SKU0017,Pantry Product 494,Pantry,A,S004,PT Nusantara Supplier,WHDPS,Denpasar - Tabanan,BATCH6107,17/03/2025,20/02/2025,02/05/2027,176,197,2,26,0,4,24.4,8890,8.07,244,126,10,$11.52,$10.50,"$2,269.74",3.72,4,0.8728,FEFO,Low Stock,0,15/07/2025,-2.51%,85.03%,No Notes,Medium,169,In Stock,Critical,TRUE,TRUE,1.93,Medium Risk,45.20812183,Fast Moving,0.123857868,1.27,Low,1.93,3.2,A - Good,206.5718724,High Variation (~206),11.86
SKU0018,Frozen Product 127,Frozen,A,S004,PT Nusantara Supplier,WHJKT,Jakarta - Cengkareng,BATCH4770,15/06/2025,09/05/2025,17/12/2025,86,484,22,107,0,0,24.18,7360,20.02,241.8,151,10,$7.58,$8.38,"$3,669.49",1.84,10,0.8028,FIFO,In Stock,-5,09/09/2025,3.03%,74.34%,Seasonal SKU,Low,355,In Stock,Low,FALSE,FALSE,0,Low Risk,18.23491736,Medium Moving,0.049958678,1.97,Low,0,1.97,A - Good,213.1579776,Very Uneven (~213+),0
SKU0019,Meat Product 464,Meat,C,S001,PT Segar Makmur,WHSBY,Surabaya - Sidoarjo,BATCH4899,22/08/2025,05/08/2025,12/09/2025,18,41,6,2,3,0,3.49,950,11.75,13.96,10,4,$11.33,$13.01,$464.73,2.55,3,0.9226,FEFO,Expiring Soon,4,13/08/2025,-1.75%,95.37%,No Notes,Low,30,Low,Low,FALSE,FALSE,0,Low Risk,31.0695122,Fast Moving,0.085121951,0.31,Low,0,0.31,A - Good,199.2482854,High Variation (~206),0
SKU0020,Beverages Product 452,Beverages,B,S010,PT DailyDairy,WHDPS,Denpasar - Tabanan,BATCH8749,11/05/2025,21/03/2025,20/09/2027,121,1,182,197,0,0,90.45,2685,0.01,271.35,145,3,$1.00,$1.12,"$1,382.05",1.97,22,0.8777,FEFO,In Stock,0,16/08/2025,-2.90%,78.73%,Fragile,Low,-378,Out of Stock,Critical,TRUE,TRUE,2.99,High Risk,33014.25,Very Fast Moving,90.45,0.37,Low,2.99,3.36,A - Good,206.5718724,High Variation (~206),13.98
SKU0021,Seafood Product 211,Seafood,B,S008,PT Hygienic Supplies,WHJKT,Jakarta - Cengkareng,BATCH1993,21/03/2025,24/02/2025,25/03/2025,172,123,17,11,0,0,7.17,1620,17.15,50.19,33,7,$9.20,$8.45,"$1,131.37",1.75,6,0.811,FEFO,Expiring Soon,0,27/08/2025,6.44%,97.49%,No Notes,Low,95,In Stock,Low,FALSE,FALSE,0,Low Risk,21.27682927,Fast Moving,0.058292683,1.32,Low,0,1.32,A - Good,213.1579776,Very Uneven (~213+),0
SKU0022,Dairy Product 230,Dairy,C,S003,PT Prima Distribusi,WHMDN,Medan - Deli Serdang,BATCH8579,25/07/2025,10/07/2025,09/08/2025,46,87,87,0,3,1,47.3,149,1.84,141.9,75,3,$1.07,$0.99,$92.85,16.31,15,0.9562,FIFO,Low Stock,0,15/07/2025,-7.65%,96.56%,No Notes,High,-3,Out of Stock,Critical,TRUE,TRUE,1.16,High Risk,198.4425287,Very Fast Moving,0.543678161,0.13,Low,1.16,1.29,A - Good,202.6218382,High Variation (~206),10.32
SKU0023,Household Product 51,Household,B,S001,PT Segar Makmur,WHDPS,Denpasar - Tabanan,BATCH4872,06/09/2025,27/08/2025,16/03/2027,3,0,38,30,1,2,19.3,6610,0,270.2,137,14,$4.86,$4.58,"$1,020.62",2.76,5,0.7501,FEFO,Low Stock,-2,09/07/2025,-5.66%,94.78%,No Notes,Low,-69,Out of Stock,Critical,TRUE,TRUE,14,High Risk,inf,Very Fast Moving,inf,3.5,Medium,14,17.5,B - Normal,206.5718724,High Variation (~206),36
SKU0024,Household Product 463,Household,C,S001,PT Segar Makmur,WHBDG,Bandung - Rancaekek,BATCH7396,04/06/2025,19/05/2025,08/06/2026,97,58,9,1,2,1,8.38,1960,6.92,25.14,14,3,$13.11,$12.72,$760.58,4.33,5,0.9586,FEFO,In Stock,-2,04/08/2025,-1.78%,62.90%,No Notes,Medium,46,Low,Critical,FALSE,FALSE,0,Medium Risk,52.7362069,Very Fast Moving,0.144482759,0.12,Low,0,0.12,A - Good,192.2676003,Moderate Imbalance (~192),0
SKU0025,Personal Product 402,Personal Care,B,S009,PT Beverage Nusantara,WHMDN,Medan - Deli Serdang,BATCH5861,01/08/2025,19/07/2025,24/08/2027,39,77,7,9,0,2,4.96,1410,15.52,14.88,16,3,$13.92,$15.91,"$1,072.16",1.93,1,0.9551,FIFO,In Stock,0,27/06/2025,6.84%,70.39%,No Notes,Low,61,In Stock,Low,FALSE,FALSE,0,Low Risk,23.51168831,Fast Moving,0.064415584,0.13,Low,0,0.13,A - Good,202.6218382,High Variation (~206),0
SKU0026,Fresh Product 161,Fresh Produce,B,S001,PT Segar Makmur,WHJKT,Jakarta - Cengkareng,BATCH9238,13/04/2025,14/02/2025,23/04/2025,149,801,163,83,1,1,79.98,2569,10.02,239.94,121,3,$2.09,$2.38,"$1,672.81",3,20,0.8535,FIFO,Expiring Soon,1,02/09/2025,2.12%,73.61%,No Notes,Low,554,In Stock,Low,FALSE,FALSE,0,Low Risk,36.44531835,Fast Moving,0.099850187,0.44,Low,0,0.44,A - Good,213.1579776,Very Uneven (~213+),0
SKU0027,Fresh Product 96,Fresh Produce,B,S002,PT Indo Fresh,WHDPS,Denpasar - Tabanan,BATCH4853,23/08/2025,29/07/2025,05/09/2025,17,470,138,111,1,1,44.01,1032,10.68,132.03,73,3,$2.00,$2.18,$939.58,2.81,14,0.8157,FIFO,Expiring Soon,0,29/06/2025,2.41%,60.55%,No Notes,Low,220,In Stock,Low,FALSE,FALSE,0,Low Risk,34.17797872,Fast Moving,0.093638298,0.55,Low,0,0.55,A - Good,206.5718724,High Variation (~206),0
SKU0028,Pantry Product 318,Pantry,B,S002,PT Indo Fresh,WHMDN,Medan - Deli Serdang,BATCH9565,25/03/2025,05/03/2025,02/07/2029,168,293,4,27,2,0,27.22,9480,10.76,108.88,57,4,$6.73,$7.23,"$1,972.15",2.79,8,0.8725,FEFO,In Stock,4,14/08/2025,5.93%,62.52%,No Notes,Low,260,In Stock,Low,FALSE,FALSE,0,Low Risk,33.90887372,Fast Moving,0.092901024,0.51,Low,0,0.51,A - Good,202.6218382,High Variation (~206),0
SKU0029,Seafood Product 136,Seafood,B,S007,PT Bakerindo,WHBDG,Bandung - Rancaekek,BATCH8491,22/03/2025,02/03/2025,29/03/2025,171,259,23,53,0,2,21.23,5790,12.2,63.69,34,3,$7.20,$7.57,"$1,865.81",2.46,8,0.8419,FIFO,Expiring Soon,0,08/09/2025,-5.52%,61.21%,No Notes,Low,183,In Stock,Low,FALSE,FALSE,0,Low Risk,29.91872587,Fast Moving,0.081969112,0.47,Low,0,0.47,A - Good,192.2676003,Moderate Imbalance (~192),0
SKU0030,Personal Product 52,Personal Care,B,S002,PT Indo Fresh,WHDPS,Denpasar - Tabanan,BATCH5345,17/07/2025,09/07/2025,18/05/2029,54,112,12,22,0,2,13.275,4580,8.44,185.85,101,14,$17.29,$17.65,"$1,936.29",3.56,6,0.832,FEFO,Low Stock,-2,01/09/2025,2.37%,61.39%,No Notes,Medium,78,In Stock,Critical,TRUE,TRUE,5.56,Medium Risk,43.26227679,Fast Moving,0.118526786,2.35,Medium,5.56,7.91,B - Normal,206.5718724,High Variation (~206),19.12
SKU0031,Bakery Product 81,Bakery,C,S008,PT Hygienic Supplies,WHDPS,Denpasar - Tabanan,BATCH9666,13/03/2025,13/03/2025,17/03/2025,0,134,11,16,3,1,19.25,5700,6.96,19.25,11,1,$2.36,$2.33,$316.80,4.31,10,0.7975,FEFO,Expiring Soon,-3,17/06/2025,-0.52%,82.20%,High return rate,Medium,104,In Stock,Critical,FALSE,FALSE,0,Medium Risk,52.43470149,Very Fast Moving,0.143656716,0.2,Low,0,0.2,A - Good,206.5718724,High Variation (~206),0
SKU0032,Meat Product 456,Meat,C,S002,PT Indo Fresh,WHDPS,Denpasar - Tabanan,BATCH5616,01/08/2025,24/06/2025,14/08/2025,39,17,1,6,4,1,2.29,890,7.42,2.29,9,1,$11.30,$12.71,$192.16,4.04,3,0.941,FIFO,Expiring Soon,0,28/07/2025,-8.40%,64.26%,No Notes,Medium,6,Low,Critical,FALSE,FALSE,0,Medium Risk,49.16764706,Fast Moving,0.134705882,0.06,Low,0,0.06,A - Good,206.5718724,High Variation (~206),0
SKU0033,Pantry Product 136,Pantry,C,S009,PT Beverage Nusantara,WHMDN,Medan - Deli Serdang,BATCH2512,07/07/2025,28/05/2025,19/10/2026,64,72,13,21,1,3,5.96,1510,12.08,11.92,11,2,$4.09,$3.87,$294.57,2.48,3,0.7455,FEFO,In Stock,4,05/08/2025,-3.53%,64.36%,Promotional item,Low,37,Low,Low,FALSE,FALSE,0,Low Risk,30.21388889,Fast Moving,0.082777778,0.51,Low,0,0.51,A - Good,202.6218382,High Variation (~206),0
SKU0034,Beverages Product 327,Beverages,A,S005,PT Agro Raya,WHBDG,Bandung - Rancaekek,BATCH8007,19/05/2025,14/04/2025,21/06/2029,113,509,86,48,3,1,54.19,1242,9.39,270.95,136,5,$3.95,$3.67,"$2,012.03",3.19,22,0.9752,FIFO,In Stock,2,26/08/2025,-0.54%,92.33%,High return rate,Medium,372,In Stock,Critical,FALSE,FALSE,0,Medium Risk,38.85923379,Fast Moving,0.106463654,0.12,Low,0,0.12,A - Good,192.2676003,Moderate Imbalance (~192),0
SKU0035,Pantry Product 428,Pantry,B,S006,PT Frozen Express,WHDPS,Denpasar - Tabanan,BATCH8041,21/04/2025,13/04/2025,18/02/2027,141,88,12,14,1,3,6.95,1910,12.66,48.65,27,7,$14.87,$13.99,"$1,308.27",2.37,4,0.8365,FIFO,In Stock,1,01/08/2025,6.29%,93.33%,No Notes,Low,61,In Stock,Low,FALSE,FALSE,0,Low Risk,28.82670455,Fast Moving,0.078977273,1.14,Low,0,1.14,A - Good,206.5718724,High Variation (~206),0
SKU0036,Personal Product 498,Personal Care,C,S001,PT Segar Makmur,WHSBY,Surabaya - Sidoarjo,BATCH5088,18/07/2025,06/06/2025,14/05/2030,53,0,38,23,3,0,18.94,6470,0,75.76,46,4,$7.74,$7.41,$534.34,8.23,11,0.9106,FIFO,Low Stock,2,26/07/2025,0.86%,86.36%,No Notes,Medium,-64,Out of Stock,Critical,TRUE,TRUE,4,High Risk,inf,Very Fast Moving,inf,0.36,Low,4,4.36,A - Good,199.2482854,High Variation (~206),16
SKU0037,Personal Product 209,Personal Care,A,S010,PT DailyDairy,WHBDG,Bandung - Rancaekek,BATCH3900,11/07/2025,16/05/2025,08/06/2027,0,197,20,13,2,1,19.11,6220,10.31,76.44,46,4,$12.50,$11.72,"$2,462.76",2.91,8,0.9794,FEFO,In Stock,-6,06/09/2025,-5.41%,86.37%,No Notes,Low,162,In Stock,Low,FALSE,FALSE,0,Low Risk,35.40685279,Fast Moving,0.097005076,0.08,Low,0,0.08,A - Good,192.2676003,Moderate Imbalance (~192),0
SKU0038,Personal Product 401,Personal Care,B,S007,PT Bakerindo,WHBDG,Bandung - Rancaekek,BATCH2771,03/07/2025,09/06/2025,25/05/2027,68,298,32,24,0,2,15.07,3350,19.77,75.35,46,5,$4.09,$3.70,"$1,218.16",1.52,5,0.7488,FIFO,In Stock,2,11/07/2025,3.03%,62.94%,No Notes,Low,242,In Stock,Low,FALSE,FALSE,0,Low Risk,18.45822148,Medium Moving,0.05057047,1.26,Low,0,1.26,A - Good,192.2676003,Moderate Imbalance (~192),0
SKU0039,Household Product 236,Household,C,S006,PT Frozen Express,WHSBY,Surabaya - Sidoarjo,BATCH1387,13/07/2025,01/06/2025,12/10/2027,58,85,15,34,2,2,10.575,6350,8.04,31.725,30,3,$4.13,$4.07,$351.33,5.97,6,0.752,FIFO,In Stock,-4,20/07/2025,6.06%,73.16%,No Notes,Medium,34,Low,Critical,FALSE,FALSE,0,Medium Risk,45.41029412,Fast Moving,0.124411765,0.74,Low,0,0.74,A - Good,199.2482854,High Variation (~206),0
SKU0040,Household Product 496,Household,B,S005,PT Agro Raya,WHSBY,Surabaya - Sidoarjo,BATCH7548,29/03/2025,14/02/2025,04/02/2029,164,81,24,30,5,1,8.96,3270,9.04,8.96,9,1,$10.22,$10.51,$827.67,3.32,3,0.8172,FEFO,In Stock,3,06/09/2025,9.51%,80.33%,Promotional item,Medium,22,Low,Critical,FALSE,FALSE,0,Medium Risk,40.37530864,Fast Moving,0.110617284,0.18,Low,0,0.18,A - Good,199.2482854,High Variation (~206),0
SKU0041,Dairy Product 493,Dairy,B,S005,PT Agro Raya,WHJKT,Jakarta - Cengkareng,BATCH8119,13/08/2025,22/07/2025,08/09/2025,27,398,6,3,3,3,48.59,1406,8.19,340.13,173,7,$2.17,$1.98,$861.95,3.66,18,0.7537,FEFO,Low Stock,4,16/07/2025,5.51%,75.23%,No Notes,Medium,386,In Stock,Critical,FALSE,FALSE,0,Medium Risk,44.5611809,Fast Moving,0.122085427,1.72,Low,0,1.72,A - Good,213.1579776,Very Uneven (~213+),0
SKU0042,Frozen Product 198,Frozen,B,S010,PT DailyDairy,WHBDG,Bandung - Rancaekek,BATCH8144,06/07/2025,06/07/2025,13/01/2026,65,207,57,18,2,1,47.41,1163,4.37,47.41,26,1,$7.03,$7.85,"$1,455.73",6.87,18,0.868,FIFO,In Stock,5,25/07/2025,-1.84%,79.21%,No Notes,Medium,130,In Stock,Critical,FALSE,FALSE,0,High Risk,83.597343,Very Fast Moving,0.229033816,0.13,Low,0,0.13,A - Good,192.2676003,Moderate Imbalance (~192),0
SKU0043,Personal Product 472,Personal Care,A,S006,PT Frozen Express,WHDPS,Denpasar - Tabanan,BATCH3041,21/06/2025,06/05/2025,10/03/2030,80,193,37,21,2,0,14.36,3240,13.44,100.52,54,7,$22.22,$25.24,"$4,288.52",2.23,9,0.9434,FEFO,In Stock,0,07/07/2025,-7.18%,84.06%,No Notes,Low,133,In Stock,Low,FALSE,FALSE,0,Low Risk,27.15751295,Fast Moving,0.074404145,0.4,Low,0,0.4,A - Good,206.5718724,High Variation (~206),0
SKU0044,Bakery Product 207,Bakery,C,S005,PT Agro Raya,WHDPS,Denpasar - Tabanan,BATCH7888,08/08/2025,27/06/2025,11/08/2025,0,42,15,4,2,0,5.29,1870,7.94,37.03,22,7,$1.77,$2.01,$74.37,3.78,1,0.7793,FEFO,Low Stock,3,15/06/2025,5.27%,76.16%,No Notes,Medium,21,Low,Critical,FALSE,FALSE,0,Medium Risk,45.97261905,Fast Moving,0.125952381,1.54,Low,0,1.54,A - Good,206.5718724,High Variation (~206),0
SKU0045,Dairy Product 292,Dairy,C,S005,PT Agro Raya,WHMDN,Medan - Deli Serdang,BATCH5978,22/04/2025,04/04/2025,29/04/2025,140,0,61,8,2,1,39.11,1211,0,78.22,45,2,$2.53,$2.86,$742.23,4,18,0.7032,FIFO,Expiring Soon,0,16/07/2025,-7.64%,84.75%,No Notes,Medium,-71,Out of Stock,Critical,TRUE,TRUE,2,High Risk,inf,Very Fast Moving,inf,0.59,Low,2,2.59,A - Good,202.6218382,High Variation (~206),12
SKU0046,Pantry Product 165,Pantry,C,S008,PT Hygienic Supplies,WHMDN,Medan - Deli Serdang,BATCH4501,19/05/2025,17/04/2025,02/03/2030,113,298,80,85,0,0,27.1,6500,11,54.2,28,2,$2.31,$2.32,$689.04,2.73,8,0.8671,FEFO,In Stock,3,19/08/2025,-2.34%,88.05%,No Notes,Low,133,In Stock,Low,FALSE,FALSE,0,Low Risk,33.19295302,Fast Moving,0.090939597,0.27,Low,0,0.27,A - Good,202.6218382,High Variation (~206),0
SKU0047,Meat Product 340,Meat,B,S010,PT DailyDairy,WHSBY,Surabaya - Sidoarjo,BATCH6085,17/08/2025,03/08/2025,29/08/2025,23,282,59,57,2,1,27.22,7740,10.36,27.22,16,1,$6.50,$6.86,"$1,832.58",2.9,5,0.9855,FIFO,Expiring Soon,-4,22/08/2025,-0.52%,86.79%,High return rate,Low,164,In Stock,Low,FALSE,FALSE,0,Low Risk,35.23156028,Fast Moving,0.096524823,0.01,Low,0,0.01,A - Good,199.2482854,High Variation (~206),0
SKU0048,Personal Product 313,Personal Care,C,S002,PT Indo Fresh,WHMDN,Medan - Deli Serdang,BATCH4185,26/05/2025,11/04/2025,05/12/2029,106,48,4,5,2,1,3.47,1130,13.83,3.47,10,1,$0.43,$0.47,$20.63,2.17,4,0.8976,FEFO,In Stock,5,08/07/2025,2.78%,97.26%,No Notes,Low,37,Low,Low,FALSE,FALSE,0,Low Risk,26.38645833,Fast Moving,0.072291667,0.1,Low,0,0.1,A - Good,202.6218382,High Variation (~206),0
SKU0049,Dairy Product 353,Dairy,C,S001,PT Segar Makmur,WHJKT,Jakarta - Cengkareng,BATCH3881,24/05/2025,03/04/2025,07/06/2025,108,80,62,18,2,0,34.93,1322,2.29,69.86,45,2,$0.94,$1.08,$75.30,13.7,17,0.8759,FEFO,Low Stock,-1,03/09/2025,8.89%,72.13%,No Notes,High,-2,Out of Stock,Critical,FALSE,FALSE,0,High Risk,159.368125,Very Fast Moving,0.436625,0.25,Low,0,0.25,A - Good,213.1579776,Very Uneven (~213+),0
